
2024/11/29 (20:31:13) | ===> btop++ v.1.4.0
2024/11/29 (20:31:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (20:53:40) | ===> btop++ v.1.4.0
2024/11/29 (20:53:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (21:42:07) | ===> btop++ v.1.4.0
2024/11/29 (21:42:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (13:16:25) | ===> btop++ v.1.4.0
2024/11/30 (13:16:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (13:45:19) | ===> btop++ v.1.4.0
2024/11/30 (13:45:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (13:45:51) | ===> btop++ v.1.4.0
2024/11/30 (13:45:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:38:07) | ===> btop++ v.1.4.0
2024/12/01 (17:38:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:38:26) | ===> btop++ v.1.4.0
2024/12/01 (17:38:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (12:03:39) | ===> btop++ v.1.4.0
2024/12/02 (12:03:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (01:13:09) | ===> btop++ v.1.4.0
2024/12/03 (01:13:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (01:15:55) | ===> btop++ v.1.4.0
2024/12/03 (01:15:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (01:15:58) | ===> btop++ v.1.4.0
2024/12/03 (01:15:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (01:16:00) | ===> btop++ v.1.4.0
2024/12/03 (01:16:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:16:21) | ===> btop++ v.1.4.0
2024/12/03 (09:16:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:21:18) | ===> btop++ v.1.4.0
2024/12/03 (09:21:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:30:43) | ===> btop++ v.1.4.0
2024/12/03 (09:30:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (09:30:46) | ===> btop++ v.1.4.0
